CSA Title,State
"Allentown-Bethlehem-East Stroudsburg, PA-NJ","['NJ', 'PA']"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","['AL', 'GA']"
"Boise City-Mountain Home-Ontario, ID-OR","['ID', 'OR']"
"Boston-Worcester-Providence, MA-RI-NH","['MA', 'NH', 'RI']"
"Brookings-Crescent City, OR-CA","['CA', 'OR']"
"Burlington-Fort Madison, IA-IL","['IA', 'IL']"
"Cape Girardeau-Sikeston, MO-IL","['IL', 'MO']"
"Charleston-Huntington-Ashland, WV-OH-KY","['KY', 'OH', 'WV']"
"Charlotte-Concord, NC-SC","['NC', 'SC']"
"Chattanooga-Cleveland-Dalton, TN-GA-AL","['AL', 'GA', 'TN']"
"Chicago-Naperville, IL-IN-WI","['IL', 'IN', 'WI']"
"Cincinnati-Wilmington, OH-KY-IN","['IN', 'KY', 'OH']"
"Columbus-Auburn-Opelika, GA-AL","['AL', 'GA']"
"Dallas-Fort Worth, TX-OK","['OK', 'TX']"
"Davenport-Moline, IA-IL","['IA', 'IL']"
"Duluth-Grand Rapids, MN-WI","['MN', 'WI']"
"El Paso-Las Cruces, TX-NM","['NM', 'TX']"
"Evansville-Henderson, IN-KY","['IN', 'KY']"
"Fargo-Wahpeton, ND-MN","['MN', 'ND']"
"Huntsville-Decatur-Albertville, AL-TN","['AL', 'TN']"
"Jacksonville-Kingsland-Palatka, FL-GA","['FL', 'GA']"
"Johnson City-Kingsport-Bristol, TN-VA","['TN', 'VA']"
"Joplin-Miami, MO-OK-KS","['KS', 'MO', 'OK']"
"Kansas City-Overland Park-Kansas City, MO-KS","['KS', 'MO']"
"Keene-Brattleboro, NH-VT","['NH', 'VT']"
"La Crosse-Onalaska-Sparta, WI-MN","['MN', 'WI']"
"Louisville/Jefferson County--Elizabethtown, KY-IN","['IN', 'KY']"
"Marinette-Iron Mountain, WI-MI","['MI', 'WI']"
"Memphis-Clarksdale-Forrest City, TN-MS-AR","['AR', 'MS', 'TN']"
"Minneapolis-St. Paul, MN-WI","['MN', 'WI']"
"New Orleans-Metairie-Slidell, LA-MS","['LA', 'MS']"
"New York-Newark, NY-NJ-CT-PA","['CT', 'NJ', 'NY', 'PA']"
"Omaha-Fremont, NE-IA","['IA', 'NE']"
"Paducah-Mayfield, KY-IL","['IL', 'KY']"
"Parkersburg-Marietta-Vienna, WV-OH","['OH', 'WV']"
"Philadelphia-Reading-Camden, PA-NJ-DE-MD","['DE', 'MD', 'NJ', 'PA']"
"Pittsburgh-Weirton-Steubenville, PA-OH-WV","['OH', 'PA', 'WV']"
"Portland-Vancouver-Salem, OR-WA","['OR', 'WA']"
"Pullman-Moscow, WA-ID","['ID', 'WA']"
"Quincy-Hannibal, IL-MO","['IL', 'MO']"
"Reno-Carson City-Gardnerville Ranchos, NV-CA","['CA', 'NV']"
"Salt Lake City-Provo-Orem, UT-ID","['ID', 'UT']"
"Sioux City-Le Mars, IA-NE-SD","['IA', 'NE', 'SD']"
"South Bend-Elkhart-Mishawaka, IN-MI","['IN', 'MI']"
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID","['ID', 'WA']"
"St. Louis-St. Charles-Farmington, MO-IL","['IL', 'MO']"
"Tallahassee-Bainbridge, FL-GA","['FL', 'GA']"
"Virginia Beach-Chesapeake, VA-NC","['NC', 'VA']"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","['DC', 'MD', 'PA', 'VA', 'WV']"
